ID,Station,Network,Latitude,Longitude,Elevation,Depth,Avg_Depth,Beginning_Year,Ending_Year,Missing_Years,Percentage_Missing_Values,Number_of_Full_Years
1,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.250000_0.250000_SMT100_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.25-0.25,0.25,2021,2024,NA,0,4
2,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.250000_0.250000_TRIME-ES-P2_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.25-0.25,0.25,1996,2021,NA,0,26
3,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.500000_0.660000_TRIME-ES-P2-B_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.5-0.66,0.58,2005,2024,NA,0,20
4,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.500000_0.660000_TRIME-ES-P2_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.5-0.66,0.58,1998,2005,NA,0,8
5,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_SMT100_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.85-0.85,0.85,2021,2024,NA,0,4
6,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_TRIME-ES-P2-B_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.85-0.85,0.85,2004,2021,NA,0,18
7,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_TRIME-ES-P2_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,0.85-0.85,0.85,1999,2004,NA,0,6
8,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_1.050000_1.050000_SMT100_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,1.05-1.05,1.05,2021,2024,NA,0,4
9,BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_1.050000_1.050000_TRIME-ES-P2_19500101_20241016.stm,BFG_Nw,50.39428,7.60313,66,1.05-1.05,1.05,1998,2021,NA,0,24
10,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63502,22.98104,112.2,0.05-0.05,0.05,2015,2018,NA,0,4
11,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.100000_0.100000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63502,22.98104,112.2,0.1-0.1,0.1,2015,2018,NA,0,4
12,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.200000_0.200000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63502,22.98104,112.2,0.2-0.2,0.2,2015,2018,NA,0,4
13,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.500000_0.500000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63502,22.98104,112.2,0.5-0.5,0.5,2015,2018,NA,0,4
14,BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-2_sm_0.050000_0.050000_GS-3_19500101_20241016.stm,BIEBRZA_S-1,53.63398,22.98128,112.2,0.05-0.05,0.05,2015,2018,NA,0,4
