"ID","Name","Station","Latitude","Longitude","Elevation","Depth","Avg_Depth","Beginning_Year","Ending_Year","Missing_Years","Percentage_Missing_Values","Number_of_Full_Years","Filename"
1,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.25-0.25",0.25,2021,2024,NA,0,4,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.250000_0.250000_SMT100_19500101_20241016.stm"
2,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.25-0.25",0.25,1996,2021,NA,0,26,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.250000_0.250000_TRIME-ES-P2_19500101_20241016.stm"
3,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.5-0.66",0.58,1998,2005,NA,0,8,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.500000_0.660000_TRIME-ES-P2_19500101_20241016.stm"
4,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.5-0.66",0.58,2005,2024,NA,0,20,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.500000_0.660000_TRIME-ES-P2-B_19500101_20241016.stm"
5,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.85-0.85",0.85,2021,2024,NA,0,4,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_SMT100_19500101_20241016.stm"
6,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.85-0.85",0.85,1999,2004,NA,0,6,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_TRIME-ES-P2_19500101_20241016.stm"
7,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.85-0.85",0.85,2004,2021,NA,0,18,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_TRIME-ES-P2-B_19500101_20241016.stm"
8,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"1.05-1.05",1.05,2021,2024,NA,0,4,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_1.050000_1.050000_SMT100_19500101_20241016.stm"
9,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"1.05-1.05",1.05,1998,2021,NA,0,24,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_1.050000_1.050000_TRIME-ES-P2_19500101_20241016.stm"
10,"grassland-soil-1","BIEBRZA_S-1",53.63502,22.98104,112.2,"0.05-0.05",0.05,2015,2018,NA,0,4,"/home/xosto002/Beachelor_thesis/BIEBRZA_S-1/grassland-soil-1/BIEBRZA-S-1_BIEBRZA-S-1_grassland-soil-1_sm_0.050000_0.050000_GS-3_19500101_20241016.stm"
