"ID","Name","Station","Latitude","Longitude","Elevation","Depth","Avg_Depth","Beginning_Year","Ending_Year","Missing_Years","Percentage_Missing_Values","Number_of_Full_Years","Filename","Land_Cover"
2,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.25-0.25",0.25,1996,2021,NA,0,26,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.250000_0.250000_TRIME-ES-P2_19500101_20241016.stm","Water"
3,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.5-0.66",0.58,2005,2024,NA,0,20,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.500000_0.660000_TRIME-ES-P2_19500101_20241016.stm","Water"
4,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.5-0.66",0.58,1998,2005,NA,0,8,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.500000_0.660000_TRIME-ES-P2-B_19500101_20241016.stm","Water"
6,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.85-0.85",0.85,2004,2021,NA,0,18,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_TRIME-ES-P2_19500101_20241016.stm","Water"
7,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"0.85-0.85",0.85,1999,2004,NA,0,6,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_0.850000_0.850000_TRIME-ES-P2-B_19500101_20241016.stm","Water"
9,"BFG-Niederwerth-1-weighable","BFG_Nw",50.39428,7.60313,66,"1.05-1.05",1.05,1998,2021,NA,0,24,"/home/xosto002/Beachelor_thesis/BFG_Nw/BFG-Niederwerth-1-weighable/BFG-Nw_BFG-Nw_BFG-Niederwerth-1-weighable_sm_1.050000_1.050000_TRIME-ES-P2_19500101_20241016.stm","Water"
91,"ChiaravalleCentrale","CALABRIA",38.671,16.409,714,"0.3-0.3",0.3,2001,2012,2007,8.33333333333333,11,"/home/xosto002/Beachelor_thesis/CALABRIA/ChiaravalleCentrale/CALABRIA_CALABRIA_ChiaravalleCentrale_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm","Tree cover, broadleaved, deciduous, Closed to open (>15%)"
92,"ChiaravalleCentrale","CALABRIA",38.671,16.409,714,"0.6-0.6",0.6,2001,2012,2007,8.33333333333333,11,"/home/xosto002/Beachelor_thesis/CALABRIA/ChiaravalleCentrale/CALABRIA_CALABRIA_ChiaravalleCentrale_sm_0.600000_0.600000_ThetaProbe-ML2X_19500101_20241016.stm","Tree cover, broadleaved, deciduous, Closed to open (>15%)"
93,"ChiaravalleCentrale","CALABRIA",38.671,16.409,714,"0.9-0.9",0.9,2001,2012,2007,8.33333333333333,11,"/home/xosto002/Beachelor_thesis/CALABRIA/ChiaravalleCentrale/CALABRIA_CALABRIA_ChiaravalleCentrale_sm_0.900000_0.900000_ThetaProbe-ML2X_19500101_20241016.stm","Tree cover, broadleaved, deciduous, Closed to open (>15%)"
94,"Fitterizzi","CALABRIA",39.52,16.141,184,"0.3-0.3",0.3,2001,2012,NA,0,12,"/home/xosto002/Beachelor_thesis/CALABRIA/Fitterizzi/CALABRIA_CALABRIA_Fitterizzi_sm_0.300000_0.300000_ThetaProbe-ML2X_19500101_20241016.stm","Cropland, rainfed"
